Hugo_Symbol	num	cases	freq	highNum	highCases	highFreq	lowNum	lowCases	lowFreq	pval
ATG2B	4	127	3.1496062992126	4	39	10.2564102564103	0	67	0	0.0165571925784419
PIKFYVE	7	127	5.51181102362205	5	39	12.8205128205128	1	67	1.49253731343284	0.0245256026739491
GOLGB1	9	127	7.08661417322835	0	39	0	8	67	11.9402985074627	0.025248419866932
HUWE1	8	127	6.2992125984252	0	39	0	7	67	10.4477611940298	0.0452860818877164
NOTCH3	5	127	3.93700787401575	3	39	7.69230769230769	0	67	0	0.0473719676549865
IGHV2-70	4	127	3.1496062992126	3	39	7.69230769230769	0	67	0	0.0473719676549865
ZNF697	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
TLR3	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
SYBU	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
SGIP1	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
RALGAPA2	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
PPP1R3F	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
PARP14	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
LIMCH1	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
HIST1H2BC	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
HEG1	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
FAM120C	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
ETV3L	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
ARHGAP21	3	127	2.36220472440945	3	39	7.69230769230769	0	67	0	0.0473719676549865
