Hugo_Symbol	TCGA-A1-A0SO	TCGA-A1-A0SP	TCGA-A2-A04P	TCGA-A2-A04Q	TCGA-A2-A04T	TCGA-A2-A0CM	TCGA-A2-A0D0	TCGA-A2-A0D2	TCGA-A2-A0ST	TCGA-A2-A0SX	TCGA-A2-A0T0	TCGA-A2-A0T2	TCGA-A2-A0YE	TCGA-A2-A0YM	TCGA-A2-A1G6	TCGA-A2-A3XS	TCGA-A2-A3XT	TCGA-A2-A3XU	TCGA-A2-A3XX	TCGA-A2-A3XY	TCGA-A7-A0CE	TCGA-A7-A0DA	TCGA-A7-A26I	TCGA-A7-A4SD	TCGA-A7-A4SE	TCGA-A7-A6VV	TCGA-A7-A6VW	TCGA-A7-A6VY	TCGA-A8-A07C	TCGA-A8-A07O	TCGA-A8-A08R	TCGA-AC-A2BK	TCGA-AC-A6IW	TCGA-AN-A04D	TCGA-AN-A0AL	TCGA-AN-A0AR	TCGA-AN-A0AT	TCGA-AN-A0G0	TCGA-AN-A0XU	TCGA-AO-A0J2	TCGA-AO-A0J4	TCGA-AO-A0J6	TCGA-AO-A128	TCGA-AO-A129	TCGA-AO-A12F	TCGA-AO-A1KR	TCGA-AQ-A04J	TCGA-AQ-A54N	TCGA-AR-A0TS	TCGA-AR-A0TU	TCGA-AR-A0U1	TCGA-AR-A0U4	TCGA-AR-A1AQ	TCGA-AR-A1AR	TCGA-AR-A1AY	TCGA-AR-A256	TCGA-B6-A400	TCGA-B6-A402	TCGA-B6-A409	TCGA-BH-A0AV	TCGA-BH-A0B3	TCGA-BH-A0B9	TCGA-BH-A0BG	TCGA-BH-A0BL	TCGA-BH-A0BW	TCGA-BH-A0E0	TCGA-BH-A0E6	TCGA-BH-A0RX	TCGA-BH-A18G	TCGA-BH-A18V	TCGA-BH-A1EW	TCGA-BH-A1F6	TCGA-C8-A12V	TCGA-C8-A131	TCGA-C8-A1HJ	TCGA-C8-A26X	TCGA-C8-A26Y	TCGA-C8-A27B	TCGA-D8-A13Z	TCGA-D8-A142	TCGA-D8-A143	TCGA-D8-A147	TCGA-D8-A1JF	TCGA-D8-A1JG	TCGA-D8-A1JL	TCGA-D8-A1XK	TCGA-D8-A1XQ	TCGA-D8-A27F	TCGA-D8-A27H	TCGA-D8-A27M	TCGA-E2-A14N	TCGA-E2-A14R	TCGA-E2-A14X	TCGA-E2-A150	TCGA-E2-A158	TCGA-E2-A159	TCGA-E2-A1AZ	TCGA-E2-A1B6	TCGA-E2-A1L7	TCGA-E2-A1LH	TCGA-E2-A1LI	TCGA-E2-A1LK	TCGA-E2-A1LL	TCGA-E2-A1LS	TCGA-E2-A573	TCGA-E2-A574	TCGA-EW-A1OV	TCGA-EW-A1OW	TCGA-EW-A1P1	TCGA-EW-A1P7	TCGA-EW-A1P8	TCGA-EW-A1PB	TCGA-EW-A1PH	TCGA-EW-A3U0	TCGA-EW-A6SB	TCGA-GI-A2C9	TCGA-GM-A2DB	TCGA-GM-A2DD	TCGA-GM-A2DF	TCGA-GM-A2DH	TCGA-GM-A2DI	TCGA-GM-A3XL	TCGA-LL-A441	TCGA-LL-A5YO	TCGA-LL-A740	TCGA-OL-A5D6	TCGA-OL-A5D7	TCGA-OL-A5RW	TCGA-OL-A66I	TCGA-OL-A66P	TCGA-OL-A6VO	TCGA-S3-AA10	TCGA-S3-AA15	num	cases	freq
MUC3A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	1	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	127	8.66141732283465
MUC16	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	1	0	0	0	1	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	127	8.66141732283465
MUC12	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	127	8.66141732283465
MT-ND5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	127	8.66141732283465
MT-CO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	1	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	127	8.66141732283465
FCGBP	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	11	127	8.66141732283465
FAT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	1	0	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	127	8.66141732283465
DMD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	127	8.66141732283465
CCDC168	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	127	8.66141732283465
SSPO	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	NA	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	127	7.8740157480315
ZFHX4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
USP34	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
RYR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	1	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	9	127	7.08661417322835
OBSCN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	NA	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	127	7.08661417322835
MYO18B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
MUC5B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	1	0	0	0	NA	0	0	0	0	0	0	1	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
MUC17	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	127	7.08661417322835
KMT2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
HMCN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
GOLGB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	127	7.08661417322835
DYX1C1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
CSMD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
ADGRV1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	1	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
ACACA	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	1	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	127	7.08661417322835
TNRC6B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	1	0	0	0	1	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	127	6.2992125984252
PKHD1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	1	0	1	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	127	6.2992125984252
