id	filename	md5	size	state
49a503d3-1bc2-4dd3-8259-afac6ee5fad6	49a503d3-1bc2-4dd3-8259-afac6ee5fad6.vep.reheader.vcf.gz	82195227c17ec505d7f14c900ebbd9a4	2118113	live
d7f07134-fd2e-4564-baba-d2aa1e7c9f08	d7f07134-fd2e-4564-baba-d2aa1e7c9f08.vep.reheader.vcf.gz	e254bdaa661011ae0068f0cd3877fd7e	124160	live
684fc2a9-3310-4f53-be26-3ff6781d31fa	isoforms.quantification.txt	9557184667eeb16e76fa80b97e276092	378211	live
32d7ade8-eb83-47e3-9173-c30a5246c0c6	isoforms.quantification.txt	5f0306eb15b7fe90bd36813efdc1ec98	405411	live
512de453-9b59-434f-bdb6-8680368b39af	512de453-9b59-434f-bdb6-8680368b39af.vcf	9682783fa75ffdeb5f43376ffa1ed9a3	175736	live
73322b08-87ff-4eb3-86cf-406697f3eecb	jhu-usc.edu_BRCA.HumanMethylation450.20.lvl-3.TCGA-AC-A2FM-11B-32D-A19Z-05.gdc_hg38.txt	ce1a8f0ca8156fd2f1b0e97ebb399d52	141288663	live
05ff3e3f-d899-4fc0-bded-a3b77944a8a0	05ff3e3f-d899-4fc0-bded-a3b77944a8a0.vep.reheader.vcf.gz	829e4769f4945362cd9921b2c2ab8f9a	70005	live
54077511-f071-448b-901c-fcc697d7819a	nationwidechildrens.org_biospecimen.TCGA-OL-A5RV.xml	9b6b909cf2f1080c192c8a13952a6e77	53958	live
57a16561-8a7c-4b6f-8298-f6f268e4716f	jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-AO-A03L-01A-41D-A10P-05.gdc_hg38.txt	e84e0f3066e28f5914eea005976d99eb	141254839	live
6a21182a-7b78-440a-980e-d92490f265f7	6a21182a-7b78-440a-980e-d92490f265f7.vcf.gz	097528a08a44a01ae54e34660878f18b	245221	live
de61b45b-6812-4c4e-a763-b66baa8ec671	KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_H06_1151638.nocnv_grch38.seg.txt	87366cb5b2687439cce562bba2fda7a7	13706	live
20d62945-7117-4d4b-9627-8b2ee44f38ae	20d62945-7117-4d4b-9627-8b2ee44f38ae.vcf	01f06e5ea0904d934c5c942c4ca2cb07	214722	live
e49d9948-843e-4b8e-83e1-c7bcc2d6c7e6	e49d9948-843e-4b8e-83e1-c7bcc2d6c7e6.vep.reheader.vcf.gz	93552ac693f4282b8e2b1a2748409e4f	1996985	live
e214e08c-008c-4631-8ccf-5633aa7e9158	jhu-usc.edu_BRCA.HumanMethylation450.27.lvl-3.TCGA-LL-A50Y-01A-11D-A268-05.gdc_hg38.txt	5db41d50714e02db44c479fc29fc2cc0	141266090	live
3846596b-e866-4b51-8084-be0b413ef4c0	3846596b-e866-4b51-8084-be0b413ef4c0.vcf.gz	755edbe8b01d536bc2f488294d8df7a0	176685	live
9aa142c9-2a5f-4158-9941-bb867ba8081e	9aa142c9-2a5f-4158-9941-bb867ba8081e.vcf.gz	42f35b06df75ce6fc0bcfc3069f46c04	1540027	live
b41a0da8-8f86-4b67-a238-8b32915a2f39	jhu-usc.edu_BRCA.HumanMethylation450.14.lvl-3.TCGA-E9-A1RC-01A-11D-A161-05.gdc_hg38.txt	06f77655732f07549b6be879ab7da452	141232194	live
3bcec46e-f997-4efc-b022-c255859dd4f8	3bcec46e-f997-4efc-b022-c255859dd4f8.vep.reheader.vcf.gz	e5bc0353dd70509e0d0e288495010513	135961	live
1555abfa-67ab-4ba3-89c2-b0cd25ee0a4f	1555abfa-67ab-4ba3-89c2-b0cd25ee0a4f.vep.reheader.vcf.gz	4261d648d63f7314795dd9dc15f1eb76	121019	live
0dacea6e-c0a6-4eed-9938-580ec4e4aa49	0dacea6e-c0a6-4eed-9938-580ec4e4aa49.vep.reheader.vcf.gz	19f294d1247f3dae0714f147be647c6a	714427	live
cf2c6c75-46ed-4310-822f-1419b7ac6e13	SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_A06_698104.grch38.seg.txt	6d187213ef27043dd06ac635f1033a64	86729	live
b3609258-ccd4-43e6-bb93-83caf987d933	nationwidechildrens.org_biospecimen.TCGA-E2-A2P5.xml	61a47dd1e39fd9fae887b6ed56a6838c	53945	live
c69db48b-6619-476d-a824-52f5c6a5fccb	jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-BH-A1F2-11A-32D-A13T-05.gdc_hg38.txt	5b9b48ae29c637eabbd99a38aadce55a	141294674	live
3e655130-7c29-4380-ac6f-b1e982f751fa	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G02_734792.grch38.seg.txt	9b0787ec72d22258249cc4c0aa2a8e09	18817	live
f938a794-cb9f-4f33-bb9a-0e8330836754	mirnas.quantification.txt	abf550697801e797bbbffea9add9a421	50161	live
7e87d16c-905a-465f-b268-4a4935e864b7	7e87d16c-905a-465f-b268-4a4935e864b7.vep.reheader.vcf.gz	5e03be845147cc2ed4e3bdaac65ba7bc	1155201	live
1ddfa9b9-918e-4d62-827e-d84ed474a650	1ddfa9b9-918e-4d62-827e-d84ed474a650.vcf.gz	076c501324cefcaecf11f5ad061cfa69	2568072	live
413699f0-e4a1-45ca-9743-c841220e7aaf	BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H06_666958.grch38.seg.txt	64ccc9cdbe398bda9e98becf1770cf01	29348	live
618118ed-e4b2-407f-85bf-6fcfc281fa95	83da7937-9e38-46f0-967a-bcfaeaea1588.FPKM.txt.gz	e9b492ffe33032a7a02f73e623e03944	554865	live
0d8a7286-128c-46ad-96d7-959ad17eba02	isoforms.quantification.txt	d47eb1358e2ab70a15b3bc3b08db4d17	277576	live
fbc381a8-ff6e-4837-97c2-3d1244d0a473	COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218.grch38.seg.txt	83668f9c236d4d30b678d3753f612f43	119208	live
8f3ed615-0b7c-4315-ad98-008c5f02b94a	8f3ed615-0b7c-4315-ad98-008c5f02b94a.vcf	2d5e4132fdb7eda132904c362d0c6c82	180454	live
874b0ad1-4264-4e7f-aa92-6939a84e464b	BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B05_666944.nocnv_grch38.seg.txt	91566c556e35fac87d8b4c36ad3f0dd0	30238	live
86743ea1-51c4-4445-b283-e1066f988ff6	6aa147a7-6444-492e-bb01-af0c4d4fe93b.htseq.counts.gz	dacc62a77c18d1dc2b80762b3ac37253	252863	live
384910d2-2719-4f58-abde-7fda069dccab	0d604955-ce10-4fa9-ba8b-9417c5719653.FPKM-UQ.txt.gz	bfaae98b8b18ca754505f57ed9906c0d	502807	live
cdeceaef-7ff1-406b-bec5-a9cd4cd5cc45	PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_C08_844844.nocnv_grch38.seg.txt	2b076a56cb0b99205b31a5c06076f129	6194	live
8bc4d25e-34bf-4bba-9354-d927bd27bf39	8bc4d25e-34bf-4bba-9354-d927bd27bf39.vep.reheader.vcf.gz	27165d7016c0b1a296e0bf8a98a4c3f7	308374	live
c4cda63f-359e-48a4-9312-4698bb71b826	jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-AR-A1AU-01A-11D-A12R-05.gdc_hg38.txt	23e7e2c90bbd872cd8cc96769c5ecc93	141286837	live
baeda338-7bb6-4c96-9489-7ca82c78d084	DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H01_1343910.nocnv_grch38.seg.txt	48b823c77adaba6fafb7f02a1b2dcba2	5730	live
59d4c70c-ba1f-44bb-901a-cc3c65c8fab2	TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_E03_1513296.nocnv_grch38.seg.txt	40539619a10f97ab3a0a9417dceff4ec	7199	live
47aa8e96-a9fe-4e47-a5df-a4f1171cf793	mirnas.quantification.txt	5fa0fe9fdeded60a4b2b9d78798c2453	50506	live
824f0f12-cc6b-4632-9e5b-7683d00f6e49	824f0f12-cc6b-4632-9e5b-7683d00f6e49.vcf	0ccdf9b8efba65ad1d100d2259d7a732	1234575	live
b647e19c-93d9-4c07-8ca6-655fb3c61acd	mirnas.quantification.txt	c6cf76011b1e83ccc7209dca2de86264	50305	live
03f69d73-1778-405f-a61d-6e51fdd4e3ea	03f69d73-1778-405f-a61d-6e51fdd4e3ea.vcf.gz	ef44161f750932892c8af1b00458a16a	517200	live
20c73ca9-ecd4-4b98-a45f-871d09d7e1e3	PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_F07_844842.nocnv_grch38.seg.txt	af7cd8804d0707ea65fb2922a842b509	17271	live
c21802b6-829f-4285-b252-cff2f9ad80e0	nationwidechildrens.org_clinical.TCGA-AR-A2LR.xml	6c18848adac75776bd1689edd7711bf7	81262	live
64144fce-fce2-4100-8643-6b39e72b1302	1f26c527-17d1-4b5a-92ac-057f2411d67f.htseq.counts.gz	d120d7d6c69e940cae179e0ecc3cd0bc	250047	live
519fcb8a-aaae-4d0d-8d60-8b62c7cec029	519fcb8a-aaae-4d0d-8d60-8b62c7cec029.snp.Somatic.hc.vcf.gz	7acc188a714d85f20ccce63695993427	19883	live
529b8a98-c454-47b2-9f62-59113dea3388	BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E12_772100.nocnv_grch38.seg.txt	1b2f5953fd24529d07a6c12ef1061a16	3881	live
09943b18-84f2-4a92-8bfb-28fdd408b90d	nationwidechildrens.org_clinical.TCGA-E2-A1L9.xml	bebc3b8dadb4a36490f50019c4795d9a	74701	live
8a586a32-179f-4181-8330-b75606fa5b19	DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H08_1343752.grch38.seg.txt	159ed6eb74928e6211f386f5634f8561	31293	live
3aad2709-e7e4-4a1a-b004-5474c5707f5c	3aad2709-e7e4-4a1a-b004-5474c5707f5c.vcf.gz	fb05d59a663b7032deacc5aa9d55118d	792042	live
dd79f28f-b9de-49fa-b836-bcfcb865f16b	dd79f28f-b9de-49fa-b836-bcfcb865f16b.vcf.gz	2b51b1da90c48cfcf4993327f8928b85	469035	live
8e527dc9-74eb-461f-afc5-d3f2223c040c	8e527dc9-74eb-461f-afc5-d3f2223c040c.vcf.gz	3a68efa926973c2eda36c2284b025bbe	349440	live
